institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
Stanford University,1390,2012,2012-1390,41201,659217,5449501,4158696
Purdue University-Main Campus,1345,2012,2012-1345,81504,1222564,9396189,5204365
Georgia Perimeter College,0,2012,2012-0,4354,52244,194908,209083
Mid-America Christian University,0,2012,2012-0,2577,41234,337859,337859
Sussex County Community College,0,2012,2012-0,1625,19496,34612,28113
Collin County Community College District,0,2012,2012-0,2800,33605,137492,137492
Southern Union State Community College,0,2012,2012-0,2410,26506,159512,159512
Chandler/Gilbert Community College,0,2012,2012-0,987,13814,40536,36698
Pennsylvania College of Technology,0,2012,2012-0,1402,19628,32057,32057
Suffolk County Community College,0,2012,2012-0,2587,31041,75478,75478
Las Positas College,0,2012,2012-0,1872,18716,32112,32112
Fond du Lac Tribal and Community College,0,2012,2012-0,773,12368,40668,40668
Illinois Eastern Community Colleges-Lincoln Trail College,0,2012,2012-0,744,11901,141014,151027
Illinois Eastern Community Colleges-Wabash Valley College,0,2012,2012-0,3368,43779,238039,203757
ASA Institute of Business and Computer Technology,0,2012,2012-0,1050,13650,275957,272257
California State University-Monterey Bay,0,2012,2012-0,4005,64084,273558,273412
Johnson & Wales University-Florida,0,2012,2012-0,1977,31626,77407,77407
Pennsylvania Highlands Community College,0,2012,2012-0,1813,19946,25566,25566
Florida Gulf Coast University,1195,2012,2012-1195,13625,204380,909741,906368
The Community College of Baltimore County,0,2012,2012-0,2146,79414,254624,254624
University of Connecticut-Avery Point,0,2012,2012-0,300,3000,36000,35400
Baton Rouge Community College,0,2012,2012-0,3002,39024,149895,149895
Pierce College at Puyallup,0,2012,2012-0,1965,27503,59372,58669
Johnson & Wales University-Denver,0,2012,2012-0,4246,55202,76063,76063
JOHNSON & WALES UNIVERSITY-CHARLOTTE,0,2012,2012-0,4096,49153,66653,66653
Ave Maria University,0,2012,2012-0,3287,52599,354306,354306
Ecclesia College,0,2012,2012-0,602,10226,81825,81825
Alabama A & M University,1105,2013,2013-1105,10905,174473,835750,604570
University of Alabama at Birmingham,1412,2013,2013-1412,42298,549872,3418881,3360401
University of Alabama at Huntsville,0,2013,2013-0,6618,99268,521967,521967
Alabama State University,1106,2013,2013-1106,15066,195853,823840,823840
The University of Alabama,1104,2013,2013-1104,56757,1078392,11770736,6161728
Auburn University at Montgomery,0,2013,2013-0,2013,36238,391844,355130
Auburn University,1120,2013,2013-1120,63333,1076664,9493646,7588390
Birmingham Southern College,0,2013,2013-0,6576,111798,218640,218640
Chattahoochee Valley Community College,0,2013,2013-0,2314,37028,183540,183540
Concordia College Alabama,0,2013,2013-0,3216,48236,88386,88386
Enterprise State Community College,0,2013,2013-0,1558,17137,129186,129186
James H Faulkner State Community College,0,2013,2013-0,2065,45425,224467,220878
Faulkner University,0,2013,2013-0,5424,75929,449915,449915
Gadsden State Community College,0,2013,2013-0,1885,28269,132945,132945
George C Wallace State Community College-Hanceville,0,2013,2013-0,3266,35924,164965,164965
George C Wallace State Community College-Selma,0,2013,2013-0,2639,47502,93610,93610
Huntingdon College,0,2013,2013-0,2312,67051,227258,227258
Jacksonville State University,1240,2013,2013-1240,11939,191021,1009758,1009758
Jefferson Davis Community College,0,2013,2013-0,1048,14667,155387,155387
Judson College,0,2013,2013-0,0,0,,
Lawson State Community College-Birmingham Campus,0,2013,2013-0,1081,19449,194718,193420
University of West Alabama,0,2013,2013-0,9568,133952,443576,443576
Lurleen B Wallace Community College,0,2013,2013-0,1053,15790,118705,118705
Marion Military Institute,0,2013,2013-0,1043,16682,209652,209652
Miles College,0,2013,2013-0,6703,93844,306709,306709
University of Mobile,0,2013,2013-0,3026,60520,470622,460271
University of Montevallo,0,2013,2013-0,4876,68264,488096,488096
University of North Alabama,0,2013,2013-0,4882,68345,430933,430933
Oakwood University,0,2013,2013-0,2912,43683,51305,51305
Alabama Southern Community College,0,2013,2013-0,4227,59184,164291,164291
Bishop State Community College,0,2013,2013-0,2256,27066,126479,126479
Samford University,0,2013,2013-0,14736,206307,2014592,2014592
Selma University,0,2013,2013-0,1422,21334,87421,42991
Shelton State Community College,0,2013,2013-0,3964,63422,254725,239112
Snead State Community College,0,2013,2013-0,1442,20181,143479,143479
University of South Alabama,1375,2013,2013-1375,16475,263602,1793669,1543872
Spring Hill College,0,2013,2013-0,2680,48231,558602,558602
Stillman College,0,2013,2013-0,2725,40876,224639,224639
Talladega College,0,2013,2013-0,295,3541,239410,239410
Troy University,1407,2013,2013-1407,10074,151112,1031446,963610
Tuskegee University,0,2013,2013-0,3333,79994,470007,470007
University of Alaska Anchorage,0,2013,2013-0,11321,181143,1440344,1440344
University of Alaska Fairbanks,0,2013,2013-0,15115,211608,703363,703363
Arizona State University,1113,2013,2013-1113,51170,767549,7355143,5950806
Arizona Western College,0,2013,2013-0,3457,51858,208394,208394
University of Arizona,1112,2013,2013-1112,158911,2383668,20339831,7959652
Central Arizona College,0,2013,2013-0,2402,28823,140178,140178
Cochise College,0,2013,2013-0,1616,21014,227296,227296
Eastern Arizona College,0,2013,2013-0,6778,81335,177364,177364
Glendale Community College,0,2013,2013-0,981,13737,68532,57612
Grand Canyon University,1213,2013,2013-1213,15991,255854,1164890,1164890
Mesa Community College,0,2013,2013-0,1276,16592,81424,81424
Northern Arizona University,0,2013,2013-0,13962,223387,1101464,1101464
Phoenix College,0,2013,2013-0,3066,42924,143715,137926
Pima Community College,0,2013,2013-0,1582,34799,90101,83570
Scottsdale Community College,0,2013,2013-0,760,12158,55621,55621
South Mountain Community College,0,2013,2013-0,1120,13434,38044,31858
Arizona Christian University,0,2013,2013-0,3143,44001,127584,127584
University of Arkansas at Little Rock,1114,2013,2013-1114,29393,440900,988486,1639069
Arkansas Baptist College,0,2013,2013-0,1308,69318,215817,215817
Lyon College,0,2013,2013-0,2087,29220,398523,398523
University of Arkansas,1116,2013,2013-1116,107803,1509245,16630650,8041317
University of Arkansas at Pine Bluff,1115,2013,2013-1115,12693,177708,670015,670015
Arkansas State University-Main Campus,0,2013,2013-0,23535,329488,1089763,1089763
Arkansas Tech University,0,2013,2013-0,4790,81436,371588,371588
University of Arkansas at Monticello,0,2013,2013-0,3409,47725,243121,243121
University of Central Arkansas,0,2013,2013-0,11660,198220,802851,802851
Central Baptist College,0,2013,2013-0,1827,25578,142029,136656
Crowley's Ridge College,0,2013,2013-0,4776,47755,94274,79616
Harding University,0,2013,2013-0,2963,47409,344222,344222
Henderson State University,0,2013,2013-0,1853,29647,305928,305928
Hendrix College,0,2013,2013-0,3490,52351,97945,97945
John Brown University,0,2013,2013-0,4263,55420,464625,458545
Mid-South Community College,0,2013,2013-0,1158,25481,57406,57406
North Arkansas College,0,2013,2013-0,2353,32938,65276,65276
Ouachita Baptist University,0,2013,2013-0,4565,63908,380999,380515
University of the Ozarks,0,2013,2013-0,1874,52481,148950,148950
Philander Smith College,0,2013,2013-0,6902,55218,219160,219160
Williams Baptist College,0,2013,2013-0,2123,36098,216777,216777
Southern Arkansas University Main Campus,0,2013,2013-0,2662,42584,280363,280363
University of Arkansas-Fort Smith,0,2013,2013-0,7534,105481,445897,445897
Academy of Art University,0,2013,2013-0,12812,166556,659324,659324
College of Alameda,0,2013,2013-0,1903,26642,67012,67012
Allan Hancock College,0,2013,2013-0,1119,17905,42986,39161
American River College,0,2013,2013-0,1829,21942,59144,56562
Antelope Valley College,0,2013,2013-0,838,10893,42848,42848
Azusa Pacific University,0,2013,2013-0,6351,76207,515690,433908
Bakersfield College,0,2013,2013-0,1371,30169,50730,44273
Barstow Community College,0,2013,2013-0,1185,15401,25479,25479
Biola University,0,2013,2013-0,4286,60002,511409,486401
Butte College,0,2013,2013-0,1200,17994,42693,42693
Cabrillo College,0,2013,2013-0,374,5984,31510,30125
California Baptist University,0,2013,2013-0,6808,88508,601358,596843
California Institute of Technology,0,2013,2013-0,1336,18699,68831,64617
California Lutheran University,0,2013,2013-0,961,29797,108570,101761
California Polytechnic State University-San Luis Obispo,1142,2013,2013-1142,21033,273430,1408638,1408638
California State University-Bakersfield,1167,2013,2013-1167,22700,340500,1301822,1301822
California State University-Stanislaus,0,2013,2013-0,3159,44232,267137,269925
California State University-San Bernardino,0,2013,2013-0,4056,64895,418232,418401
California State Polytechnic University-Pomona,0,2013,2013-0,3821,57310,487200,494586
California State University-Chico,0,2013,2013-0,5710,102785,471687,455263
California State University-Dominguez Hills,0,2013,2013-0,3112,49797,316219,316219
California State University-Fresno,1201,2013,2013-1201,35680,463841,1754033,1804214
California State University-Fullerton,1168,2013,2013-1168,12618,227115,1316210,1316210
California State University-East Bay,0,2013,2013-0,3164,47467,354187,343863
California State University-Long Beach,1253,2013,2013-1253,26710,480784,1940159,1940159
California State University-Los Angeles,0,2013,2013-0,4152,58123,411347,411347
California State University-Northridge,1169,2013,2013-1169,14149,254679,1206921,1206921
California State University-Sacramento,0,2013,2013-0,16936,237100,951501,951501
University of California-Berkeley,1143,2013,2013-1143,61295,1042009,8004748,6406523
University of California-Davis,1413,2013,2013-1413,16460,263364,1227879,1227879
University of California-Irvine,1414,2013,2013-1414,15489,216852,1260410,1410755
University of California-Los Angeles,1417,2013,2013-1417,86716,1560889,8375109,7216738
University of California-Riverside,0,2013,2013-0,15070,271266,1411998,1406495
University of California-San Diego,0,2013,2013-0,8382,117345,501015,477162
University of California-Santa Barbara,1364,2013,2013-1364,19110,324864,1967201,1967201
University of California-Santa Cruz,0,2013,2013-0,2301,39125,40923,58360
California Maritime Academy,0,2013,2013-0,1360,23115,38000,42330
Canada College,0,2013,2013-0,1042,12504,42548,42520
College of the Canyons,0,2013,2013-0,2857,37143,68237,62759
Cerritos College,0,2013,2013-0,1816,34509,83410,81538
Cerro Coso Community College,0,2013,2013-0,0,0,,
Chabot College,0,2013,2013-0,1049,15739,45554,45554
Chaffey College,0,2013,2013-0,3214,44994,193301,198025
Chapman University,0,2013,2013-0,1211,21793,123991,123991
Concordia University-Irvine,0,2013,2013-0,6770,81238,609585,609585
San Diego Christian College,0,2013,2013-0,788,16544,270100,270100
Citrus College,0,2013,2013-0,1588,17471,136867,133483
City College of San Francisco,0,2013,2013-0,945,13224,22074,22857
Claremont McKenna College,0,2013,2013-0,3093,46395,158445,158445
Columbia College,0,2013,2013-0,870,13050,122098,113089
El Camino College-Compton Center,0,2013,2013-0,855,11109,22815,22815
Contra Costa College,0,2013,2013-0,747,11210,38595,37245
Cosumnes River College,0,2013,2013-0,1743,24395,78149,78149
Cuesta College,0,2013,2013-0,1559,23380,64108,53049
Cuyamaca College,0,2013,2013-0,531,6369,23776,23776
Cypress College,0,2013,2013-0,245,5147,122365,114084
De Anza College,0,2013,2013-0,846,16074,94900,94900
College of the Desert,0,2013,2013-0,1730,24218,52319,52319
Diablo Valley College,0,2013,2013-0,1425,14254,47861,47861
Dominican University of California,0,2013,2013-0,6070,103195,504894,504894
East Los Angeles College,0,2013,2013-0,2702,29727,70358,70358
El Camino Community College District,0,2013,2013-0,1126,15757,35297,34387
Feather River Community College District,0,2013,2013-0,1969,29538,78690,78690
Foothill College,0,2013,2013-0,848,14422,135425,132569
Fresno City College,0,2013,2013-0,1692,23685,101093,100015
Fresno Pacific University,0,2013,2013-0,3860,50182,425236,395986
Fullerton College,0,2013,2013-0,800,12798,29577,29577
Gavilan College,0,2013,2013-0,2013,22143,31511,30717
Glendale Community College,0,2013,2013-0,697,9764,30418,30418
Grossmont College,0,2013,2013-0,1231,14774,78617,78617
Hartnell College,0,2013,2013-0,999,14987,48104,39113
Holy Names University,0,2013,2013-0,2431,80223,455235,455235
Humboldt State University,0,2013,2013-0,5948,107072,499925,499925
Imperial Valley College,0,2013,2013-0,3240,42116,67777,54668
Irvine Valley College,0,2013,2013-0,3897,58460,236580,236580
Reedley College,0,2013,2013-0,1564,23455,69859,66396
University of La Verne,0,2013,2013-0,1444,27437,140605,120771
Laney College,0,2013,2013-0,0,0,,
Lassen Community College,0,2013,2013-0,1639,16386,43349,43349
La Sierra University,0,2013,2013-0,3117,46749,78449,78449
Long Beach City College,0,2013,2013-0,796,11147,71194,71194
Los Angeles Harbor College,0,2013,2013-0,843,11804,58442,47698
Los Angeles Pierce College,0,2013,2013-0,2410,38553,100254,100137
Los Angeles Southwest College,0,2013,2013-0,814,17907,114325,114325
Los Angeles Trade Technical College,0,2013,2013-0,1515,27261,61119,61119
Los Angeles Valley College,0,2013,2013-0,1119,15659,47803,45840
The Master's College and Seminary,0,2013,2013-0,5507,77095,605001,605001
Los Medanos College,0,2013,2013-0,660,9900,37644,45544
Loyola Marymount University,0,2013,2013-0,30126,482021,2673460,2673460
College of Marin,0,2013,2013-0,1013,14184,55723,53123
Mendocino College,0,2013,2013-0,3039,39502,54081,50883
Menlo College,0,2013,2013-0,3134,40740,182498,182498
Merced College,0,2013,2013-0,667,11339,17045,17045
Merritt College,0,2013,2013-0,1381,20721,33726,33726
MiraCosta College,0,2013,2013-0,1875,26243,49063,49063
Mission College,0,2013,2013-0,0,0,,
Modesto Junior College,0,2013,2013-0,1675,21769,168246,160634
Monterey Peninsula College,0,2013,2013-0,717,11472,42615,42615
Moorpark College,0,2013,2013-0,896,10753,59680,53776
Mt. San Antonio College,0,2013,2013-0,842,17686,55289,55285
Mt. San Jacinto Community College District,0,2013,2013-0,352,5636,59003,50942
Napa Valley College,0,2013,2013-0,1016,10155,116039,116039
Notre Dame de Namur University,0,2013,2013-0,6531,97959,251679,251679
Occidental College,0,2013,2013-0,1554,26425,166110,159455
Ohlone Community College,0,2013,2013-0,643,8360,60444,61067
Orange Coast College,0,2013,2013-0,901,15321,73468,64902
Oxnard College,0,2013,2013-0,960,11520,40609,40609
Hope International University,0,2013,2013-0,1265,24033,365837,355843
Pacific Union College,0,2013,2013-0,1401,22420,81920,74920
University of the Pacific,1334,2013,2013-1334,17075,273197,1836357,1836357
Palomar College,0,2013,2013-0,719,9347,35177,28117
Pasadena City College,0,2013,2013-0,3588,43060,75031,75031
Pepperdine University,1337,2013,2013-1337,17301,276814,2169272,2169272
Point Loma Nazarene University,0,2013,2013-0,3670,62391,535754,531795
Pomona College,0,2013,2013-0,903,14448,122567,110395
Porterville College,0,2013,2013-0,2291,29784,66045,66045
Santa Ana College,0,2013,2013-0,573,10881,57762,53390
University of Redlands,0,2013,2013-0,1597,25547,155771,137742
College of the Redwoods,0,2013,2013-0,2312,39304,70879,69879
Rio Hondo College,0,2013,2013-0,618,8647,37806,37806
Riverside City College,0,2013,2013-0,949,14242,67308,69308
Sacramento City College,0,2013,2013-0,534,9081,44155,44155
Saddleback College,0,2013,2013-0,783,11752,67271,30150
San Diego City College,0,2013,2013-0,949,11391,44013,42735
