institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
Saint Leo University,0,2011,2011-0,3956,59345,394547,398115
St Petersburg College,0,2011,2011-0,1862,22348,180006,180006
Santa Fe College,0,2011,2011-0,1714,20572,206388,206388
Saint Johns River Community College,0,2011,2011-0,1208,15702,173937,187965
University of South Florida-Main Campus,1378,2011,2011-1378,56015,784203,4588627,3215424
Saint Thomas University,0,2011,2011-0,10003,140044,299398,298218
Stetson University,0,2011,2011-0,10357,165715,1152725,1152725
Southeastern University,0,2011,2011-0,2061,32971,92440,92444
Tallahassee Community College,0,2011,2011-0,2605,31254,298648,298648
The University of Tampa,0,2011,2011-0,3014,57262,345680,342048
Trinity Baptist College,0,2011,2011-0,587,8800,10800,10800
Trinity College of Florida,0,2011,2011-0,3008,36095,46095,46095
Warner University,0,2011,2011-0,2088,27150,238432,238432
Webber International University,0,2011,2011-0,2309,39258,425471,403765
The University of West Florida,0,2011,2011-0,3479,52188,380912,409571
Agnes Scott College,0,2011,2011-0,0,0,,
Albany Technical College,0,2011,2011-0,1558,24925,59845,59845
Darton College,0,2011,2011-0,0,0,,
Albany State University,0,2011,2011-0,3930,55020,211064,208697
Andrew College,0,2011,2011-0,0,0,,
Armstrong Atlantic State University,0,2011,2011-0,2833,50985,341345,341345
Atlanta Christian College,0,2011,2011-0,2235,29058,71276,71276
Atlanta Metropolitan College,0,2011,2011-0,4124,49482,194583,194583
Clark Atlanta University,0,2011,2011-0,3872,69699,357331,332723
Augusta State University,0,2011,2011-0,2114,29601,256618,361216
Berry College,0,2011,2011-0,5356,69630,351700,351700
Brenau University,0,2011,2011-0,0,0,,
Brewton-Parker College,0,2011,2011-0,1074,52630,248206,248206
College of Coastal Georgia,0,2011,2011-0,1502,13518,116093,109775
Clayton  State University,0,2011,2011-0,2357,35349,353044,353044
Columbus State University,0,2011,2011-0,1976,29646,297122,305574
Covenant College,0,2011,2011-0,611,20154,183095,179404
Emmanuel College,0,2011,2011-0,3833,57491,192001,189751
Emory University,0,2011,2011-0,5607,89719,255347,252806
Fort Valley State University,0,2011,2011-0,129,1681,79575,79575
Georgia Institute of Technology-Main Campus,1210,2011,2011-1210,56507,904107,9143914,3873987
Georgia Southwestern State University,0,2011,2011-0,2100,31497,183014,183014
Georgia College & State University,0,2011,2011-0,1412,28234,362203,363580
Georgia Southern University,0,2011,2011-0,14432,202042,320315,827336
Georgia State University,1209,2011,2011-1209,27795,416930,282939,1386497
University of Georgia,1208,2011,2011-1208,57070,741916,8331515,4509622
Gordon College,0,2011,2011-0,1866,22391,70776,88080
Kennesaw State University,0,2011,2011-0,13281,212503,770339,770339
LaGrange College,0,2011,2011-0,2439,31701,130759,130759
Life University,0,2011,2011-0,3050,45753,359213,359213
Mercer University,1273,2011,2011-1273,7505,135087,1083528,1069687
Middle Georgia College,0,2011,2011-0,1496,26925,106312,106312
North Georgia College & State University,0,2011,2011-0,3161,47420,285438,283968
Oglethorpe University,0,2011,2011-0,2332,37313,99081,100091
Paine College,0,2011,2011-0,3793,72069,232980,232980
Piedmont College,0,2011,2011-0,1330,21273,89956,80237
Reinhardt College,0,2011,2011-0,1612,45131,254615,258862
Savannah State University,0,2011,2011-0,8926,142810,662890,551902
Shorter College,0,2011,2011-0,1653,24797,401750,401750
South Georgia Technical College,0,2011,2011-0,3280,45919,136174,136174
Southern Polytechnic State University,0,2011,2011-0,1819,29106,360174,344344
Toccoa Falls College,0,2011,2011-0,1346,17501,19501,19501
Truett-McConnell College,0,2011,2011-0,1477,29545,162227,162227
Valdosta State University,0,2011,2011-0,5079,76178,294419,460561
Waycross College,0,2011,2011-0,2492,44863,110171,107731
University of West Georgia,0,2011,2011-0,5553,77739,325089,325089
Chaminade University of Honolulu,0,2011,2011-0,5069,70967,483955,483955
University of Hawaii at Hilo,0,2011,2011-0,6083,85162,444175,314286
University of Hawaii at Manoa,1218,2011,2011-1218,20242,323872,1173795,2089379
Hawaii Pacific University,0,2011,2011-0,7350,88202,585282,585282
Boise State University,1129,2011,2011-1129,23300,349505,1577277,1529236
Idaho State University,0,2011,2011-0,17982,269732,978882,1102736
University of Idaho,0,2011,2011-0,24876,373134,2114586,1376305
The College of Idaho,0,2011,2011-0,2593,38900,241875,237435
Lewis-Clark State College,0,2011,2011-0,5269,52692,300437,300437
